2017-05-05 16:27:10 - NOTICE - default
2017-05-05 16:27:10 - NOTICE - /var/www/staging/wp-content/themes/rhythm/sample-data/default/
2017-05-05 16:27:10 - NOTICE - Your script maximum execution time is set to 30 seconds. It may be not enough for import to succeed. Suggested value is 500 seconds.
2017-05-05 16:27:10 - MESSAGE - Import initialized!
2017-05-05 16:27:10 - MESSAGE - data.xml import started
2017-05-05 16:27:12 - MESSAGE - Import in progress...
2017-05-05 16:27:13 - MESSAGE - Import in progress...
2017-05-05 16:27:14 - MESSAGE - Import in progress...
2017-05-05 16:27:15 - MESSAGE - Import in progress...
2017-05-05 16:27:17 - MESSAGE - Import in progress...
2017-05-05 16:27:19 - MESSAGE - Import in progress...
2017-05-05 16:27:21 - MESSAGE - Import in progress...
2017-05-05 16:27:23 - MESSAGE - Import in progress...
2017-05-05 16:27:25 - MESSAGE - Import in progress...
2017-05-05 16:27:27 - MESSAGE - Import in progress...
2017-05-05 16:27:29 - MESSAGE - Import in progress...
2017-05-05 16:27:31 - MESSAGE - Import in progress...
2017-05-05 16:27:33 - MESSAGE - Import in progress...
2017-05-05 16:27:35 - MESSAGE - Import in progress...
2017-05-05 16:27:37 - MESSAGE - Import in progress...
2017-05-05 16:27:39 - MESSAGE - Import in progress...
2017-05-05 16:27:41 - MESSAGE - Import in progress...
2017-05-05 16:27:43 - MESSAGE - Import in progress...
2017-05-05 16:27:44 - MESSAGE - Import in progress...
2017-05-05 16:27:46 - MESSAGE - Import in progress...
2017-05-05 16:27:48 - MESSAGE - Import in progress...
2017-05-05 16:27:50 - MESSAGE - data.xml import completed
2017-05-05 16:27:50 - MESSAGE - menu location set.
2017-05-05 16:27:50 - MESSAGE - Import in progress...
2017-05-05 16:27:52 - MESSAGE - Import in progress...
2017-05-05 16:27:53 - MESSAGE - saving redux settings.
2017-05-05 16:27:53 - MESSAGE - redux settings saved.
2017-05-05 16:27:53 - MESSAGE - widgets import started.
2017-05-05 16:27:53 - MESSAGE - widgets import completed.
2017-05-05 16:27:53 - MESSAGE - Setting home page
2017-05-05 16:27:53 - MESSAGE - Home page set
2017-05-05 16:27:54 - MESSAGE - Import in progress...
